lot_wf	step	UL	LL	TT	value
A	kz000	100	80	90	95.58192635
A	kz000	100	80	90	91.28845736
A	kz000	100	80	90	93.41896079
A	kz000	100	80	90	92.95971137
A	kz000	100	80	90	93.01756761
A	kz000	100	80	90	93.52047817
B	kz000	100	80	90	95.79968878
B	kz000	100	80	90	91.62761868
B	kz000	100	80	90	95.476598
A	kz100	60	50	55	59.99008246
A	kz100	60	50	55	58.48598403
A	kz100	60	50	55	59.15698685
A	kz100	60	50	55	56.26228797
A	kz100	60	50	55	55.51771446
A	kz100	60	50	55	57.93357748
B	kz100	60	50	55	56.80337912
B	kz100	60	50	55	55.23177488
B	kz100	60	50	55	58.41205645
