Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	62900.0	63300.0	60300.0	60300.0	60300.0	463670
2016-01-05	59700.0	61900.0	59500.0	61600.0	61600.0	463770
2016-01-06	62000.0	62000.0	60400.0	61200.0	61200.0	395896
2016-01-07	60800.0	62700.0	60600.0	61600.0	61600.0	341168
2016-01-08	60200.0	61600.0	59500.0	61300.0	61300.0	423373
2016-01-11	60500.0	61000.0	60000.0	60100.0	60100.0	252564
2016-01-12	60400.0	60700.0	56200.0	56600.0	56600.0	841704
2016-01-13	56700.0	58000.0	56300.0	57000.0	57000.0	556571
2016-01-14	56400.0	56400.0	54700.0	55400.0	55400.0	596031
2016-01-15	56200.0	56300.0	55600.0	56100.0	56100.0	336116
2016-01-18	55500.0	55600.0	54100.0	54300.0	54300.0	323162
2016-01-19	54400.0	55700.0	54000.0	55600.0	55600.0	318396
2016-01-20	55700.0	55800.0	53000.0	53000.0	53000.0	526588
2016-01-21	52500.0	54400.0	52000.0	53400.0	53400.0	358749
2016-01-22	54200.0	55100.0	53600.0	54800.0	54800.0	374389
2016-01-25	55100.0	55300.0	53700.0	54100.0	54100.0	367273
2016-01-26	53900.0	53900.0	51500.0	51800.0	51800.0	612248
2016-01-27	52000.0	54400.0	52000.0	54300.0	54300.0	506643
2016-01-28	53500.0	55300.0	52900.0	55100.0	55100.0	381754
2016-01-29	55800.0	55900.0	54200.0	55200.0	55200.0	420592
2016-02-01	55300.0	57900.0	55000.0	57800.0	57800.0	666711
2016-02-02	57200.0	57700.0	56500.0	57100.0	57100.0	301942
2016-02-03	56500.0	56700.0	54200.0	54300.0	54300.0	457908
2016-02-04	54600.0	56800.0	54400.0	56600.0	56600.0	477025
2016-02-05	56500.0	57200.0	55600.0	56500.0	56500.0	246903
2016-02-11	54500.0	55700.0	54100.0	54100.0	54100.0	275476
2016-02-12	54000.0	58500.0	53800.0	57600.0	57600.0	804636
2016-02-15	58600.0	58600.0	56700.0	58300.0	58300.0	367396
2016-02-16	58000.0	59000.0	57600.0	59000.0	59000.0	253952
2016-02-17	59100.0	60600.0	58600.0	60300.0	60300.0	507022
2016-02-18	60800.0	60900.0	59600.0	60500.0	60500.0	374201
2016-02-19	60000.0	60500.0	58300.0	59100.0	59100.0	455084
2016-02-22	59200.0	60000.0	57900.0	58600.0	58600.0	540387
2016-02-23	59200.0	59300.0	56100.0	56300.0	56300.0	697486
2016-02-24	56100.0	58400.0	56100.0	58400.0	58400.0	451482
2016-02-25	58600.0	58900.0	56700.0	57000.0	57000.0	356386
2016-02-26	56600.0	57400.0	54600.0	54700.0	54700.0	913071
2016-02-29	55100.0	55400.0	53800.0	54200.0	54200.0	627080
2016-03-02	55200.0	55500.0	53900.0	54200.0	54200.0	654991
2016-03-03	54700.0	55800.0	54400.0	55800.0	55800.0	510412
2016-03-04	56300.0	57200.0	55800.0	56100.0	56100.0	640226
2016-03-07	56400.0	56600.0	55400.0	56200.0	56200.0	451763
2016-03-08	56300.0	56600.0	55600.0	55700.0	55700.0	292682
2016-03-09	56100.0	56300.0	55400.0	56300.0	56300.0	297172
2016-03-10	56400.0	57400.0	55800.0	57400.0	57400.0	535643
2016-03-11	58100.0	59400.0	57500.0	59100.0	59100.0	883032
2016-03-14	59700.0	59800.0	57900.0	58000.0	58000.0	466569
2016-03-15	58000.0	58500.0	57300.0	57700.0	57700.0	306103
2016-03-16	58200.0	58500.0	57500.0	57900.0	57900.0	302491
2016-03-17	58300.0	60400.0	58100.0	60100.0	60100.0	831928
2016-03-18	60100.0	60900.0	59300.0	59700.0	59700.0	519273
2016-03-21	60100.0	61400.0	59300.0	60300.0	60300.0	492986
2016-03-22	60400.0	60600.0	59000.0	59300.0	59300.0	378789
2016-03-23	59400.0	60200.0	58500.0	58800.0	58800.0	368982
2016-03-24	58500.0	58800.0	56800.0	57500.0	57500.0	495570
2016-03-25	57300.0	57500.0	56000.0	56000.0	56000.0	498574
2016-03-28	56100.0	56600.0	55800.0	56000.0	56000.0	259818
2016-03-29	56100.0	56500.0	55200.0	56000.0	56000.0	574532
2016-03-30	57100.0	59200.0	57100.0	59000.0	59000.0	882499
2016-03-31	59200.0	59300.0	58300.0	58800.0	58800.0	387762
2016-04-01	59000.0	59000.0	56000.0	56200.0	56200.0	656656
2016-04-04	56200.0	56800.0	55600.0	56000.0	56000.0	315948
2016-04-05	56100.0	57000.0	55600.0	56100.0	56100.0	363142
2016-04-06	56000.0	56200.0	53800.0	54200.0	54200.0	827343
2016-04-07	54800.0	55300.0	54000.0	54500.0	54500.0	406649
2016-04-08	54100.0	54800.0	54000.0	54800.0	54800.0	219895
2016-04-11	54500.0	55000.0	54400.0	54800.0	54800.0	181756
2016-04-12	55000.0	55900.0	54800.0	55100.0	55100.0	260482
2016-04-14	55400.0	55600.0	55100.0	55200.0	55200.0	292893
2016-04-15	55400.0	55800.0	55000.0	55100.0	55100.0	290750
2016-04-18	55100.0	56300.0	55000.0	55900.0	55900.0	388091
2016-04-19	56500.0	57100.0	55700.0	55800.0	55800.0	475291
2016-04-20	56000.0	56300.0	54600.0	54700.0	54700.0	497287
2016-04-21	54900.0	55200.0	54600.0	54700.0	54700.0	353498
2016-04-22	54600.0	55200.0	54600.0	54600.0	54600.0	245542
2016-04-25	54700.0	55300.0	54500.0	54800.0	54800.0	267896
2016-04-26	54800.0	54900.0	53300.0	53400.0	53400.0	736928
2016-04-27	53700.0	54000.0	52500.0	52800.0	52800.0	461251
2016-04-28	53100.0	53200.0	52600.0	52700.0	52700.0	321740
2016-04-29	52600.0	52800.0	52000.0	52100.0	52100.0	357750
2016-05-02	52100.0	52600.0	51600.0	51700.0	51700.0	239154
2016-05-03	51700.0	52000.0	50800.0	51200.0	51200.0	466952
2016-05-04	50900.0	51100.0	50400.0	50500.0	50500.0	354188
2016-05-09	50200.0	50800.0	49700.0	49700.0	49700.0	372204
2016-05-10	49550.0	51100.0	49550.0	50800.0	50800.0	334366
2016-05-11	50800.0	51300.0	50100.0	50400.0	50400.0	351717
2016-05-12	50200.0	50500.0	49850.0	50400.0	50400.0	145292
2016-05-13	50300.0	50400.0	49850.0	49950.0	49950.0	263497
2016-05-16	50000.0	51800.0	50000.0	51500.0	51500.0	383863
2016-05-17	51700.0	51900.0	50800.0	50900.0	50900.0	269438
2016-05-18	50700.0	50900.0	49950.0	50600.0	50600.0	321362
2016-05-19	50500.0	51000.0	50200.0	50500.0	50500.0	201062
2016-05-20	50500.0	51300.0	50200.0	50500.0	50500.0	307542
2016-05-23	51000.0	51100.0	50300.0	50600.0	50600.0	187005
2016-05-24	51000.0	51000.0	50000.0	50000.0	50000.0	232878
2016-05-25	50600.0	53200.0	50100.0	52600.0	52600.0	939287
2016-05-26	53000.0	53200.0	52100.0	52300.0	52300.0	325089
2016-05-27	52600.0	53700.0	52600.0	53200.0	53200.0	339339
2016-05-30	53100.0	53200.0	52100.0	52300.0	52300.0	221207
2016-05-31	52000.0	52600.0	51900.0	52200.0	52200.0	560079
2016-06-01	51700.0	52200.0	51100.0	52000.0	52000.0	346072
2016-06-02	51800.0	51900.0	50600.0	50700.0	50700.0	448716
2016-06-03	51000.0	51800.0	50700.0	51300.0	51300.0	288578
2016-06-07	51100.0	51900.0	51000.0	51800.0	51800.0	243775
2016-06-08	51900.0	52000.0	50700.0	51200.0	51200.0	332614
2016-06-09	51400.0	51400.0	50700.0	51100.0	51100.0	375291
2016-06-10	51200.0	51400.0	50800.0	51300.0	51300.0	187511
2016-06-13	51100.0	52400.0	50700.0	52400.0	52400.0	381269
2016-06-14	52200.0	52400.0	51100.0	51400.0	51400.0	332859
2016-06-15	51400.0	52000.0	51100.0	51300.0	51300.0	244244
2016-06-16	51500.0	51800.0	50700.0	50800.0	50800.0	274306
2016-06-17	50900.0	51700.0	50800.0	51200.0	51200.0	212915
2016-06-20	51600.0	52000.0	51300.0	51800.0	51800.0	241464
2016-06-21	51800.0	52000.0	50500.0	50700.0	50700.0	306889
2016-06-22	50800.0	51200.0	50400.0	50900.0	50900.0	221489
2016-06-23	50700.0	51100.0	50600.0	50900.0	50900.0	176276
2016-06-24	51400.0	51600.0	49350.0	49650.0	49650.0	702018
2016-06-27	48350.0	49400.0	48300.0	49300.0	49300.0	306833
2016-06-28	48650.0	49700.0	48650.0	49250.0	49250.0	213324
2016-06-29	49700.0	50600.0	49650.0	50000.0	50000.0	227412
2016-06-30	50500.0	50500.0	50000.0	50100.0	50100.0	183742
2016-07-01	50300.0	50800.0	50200.0	50200.0	50200.0	223228
2016-07-04	50400.0	50700.0	50100.0	50300.0	50300.0	162523
2016-07-05	50300.0	50400.0	49300.0	49400.0	49400.0	452765
2016-07-06	49000.0	49300.0	48150.0	48200.0	48200.0	421970
2016-07-07	48600.0	49400.0	48350.0	48350.0	48350.0	321586
2016-07-08	48200.0	48250.0	46550.0	46700.0	46700.0	817022
2016-07-11	46800.0	47600.0	46750.0	47400.0	47400.0	273681
2016-07-12	47400.0	47900.0	47000.0	47600.0	47600.0	246048
2016-07-13	48000.0	49900.0	48000.0	49850.0	49850.0	699889
2016-07-14	49850.0	52500.0	49850.0	52200.0	52200.0	1250270
2016-07-15	53100.0	53200.0	51900.0	52000.0	52000.0	522093
2016-07-18	52600.0	53000.0	51900.0	52100.0	52100.0	278023
2016-07-19	52000.0	52700.0	51600.0	51800.0	51800.0	238635
2016-07-20	51800.0	52600.0	51000.0	52400.0	52400.0	261720
2016-07-21	52500.0	52500.0	51700.0	52300.0	52300.0	174282
2016-07-22	52600.0	55700.0	52500.0	55300.0	55300.0	1803686
2016-07-25	55700.0	56100.0	54600.0	55800.0	55800.0	630862
2016-07-26	55400.0	56000.0	54900.0	55900.0	55900.0	309016
2016-07-27	55600.0	56100.0	55200.0	55900.0	55900.0	256359
2016-07-28	56000.0	56300.0	54600.0	55000.0	55000.0	354193
2016-07-29	55000.0	56200.0	54400.0	55200.0	55200.0	419010
2016-08-01	55800.0	57500.0	55700.0	57400.0	57400.0	675921
2016-08-02	57400.0	57500.0	56200.0	56300.0	56300.0	320505
2016-08-03	56300.0	56300.0	54900.0	55200.0	55200.0	372533
2016-08-04	56300.0	59000.0	56300.0	58800.0	58800.0	1198425
2016-08-05	59300.0	60000.0	58500.0	58900.0	58900.0	670444
2016-08-08	59800.0	60500.0	58500.0	58600.0	58600.0	469234
2016-08-09	58400.0	59600.0	58400.0	59500.0	59500.0	239844
2016-08-10	59500.0	59600.0	58100.0	58300.0	58300.0	388405
2016-08-11	58000.0	58800.0	57100.0	58700.0	58700.0	355874
2016-08-12	58700.0	59100.0	58200.0	58600.0	58600.0	240263
2016-08-16	58900.0	59000.0	57500.0	57600.0	57600.0	254317
2016-08-17	57400.0	58300.0	57300.0	58000.0	58000.0	160786
2016-08-18	58000.0	61500.0	58000.0	61300.0	61300.0	1158876
